date,sales
2018-01-01,207.45
2018-02-01,214.13
2018-03-01,238.11
2018-04-01,256.46
2018-05-01,227.29
2018-06-01,217.51
2018-07-01,230.92
2018-08-01,204.95
2018-09-01,176.62
2018-10-01,188.98
2018-11-01,179.12
2018-12-01,191.27
2019-01-01,218.09
2019-02-01,201.96
2019-03-01,216.97
2019-04-01,239.64
2019-05-01,230.07
2019-06-01,240.2
2019-07-01,208.07
2019-08-01,186.71
2019-09-01,220.1
2019-10-01,191.91
2019-11-01,201.54
2019-12-01,191.34
2020-01-01,220.75
2020-02-01,246.78
2020-03-01,240.04
2020-04-01,268.17
2020-05-01,250.71
2020-06-01,245.56
2020-07-01,227.12
2020-08-01,250.13
2020-09-01,212.37
2020-10-01,193.89
2020-11-01,227.32
2020-12-01,208.86
2021-01-01,246.51
2021-02-01,230.18
2021-03-01,251.84
2021-04-01,279.94
2021-05-01,285.25
2021-06-01,266.97
2021-07-01,248.87
2021-08-01,232.29
2021-09-01,204.85
2021-10-01,213.42
2021-11-01,222.53
2021-12-01,257.48
2022-01-01,262.99
2022-02-01,247.59
2022-03-01,291.08
2022-04-01,285.67
2022-05-01,278.48
2022-06-01,288.03
2022-07-01,280.53
2022-08-01,265.23
2022-09-01,228.9
2022-10-01,234.04
2022-11-01,248.87
2022-12-01,270.72
2023-01-01,265.1
2023-02-01,285.71
2023-03-01,284.08
2023-04-01,287.96
2023-05-01,315.28
2023-06-01,313.66
2023-07-01,278.44
2023-08-01,280.78
2023-09-01,261.37
2023-10-01,243.46
2023-11-01,263.78
2023-12-01,293.61
2024-01-01,286.21
2024-02-01,326.42
2024-03-01,275.84
2024-04-01,332.69
2024-05-01,318.85
2024-06-01,303.29
2024-07-01,295.35
2024-08-01,250.37
2024-09-01,267.11
2024-10-01,272.95
2024-11-01,294.98
2024-12-01,277.23
